,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
145,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
R-CNNは、画像から物体候補領域を抽出した後に、物体候補領域の数だけCNNで処理する必要があるため、時間がかかるという問題点があった。そこで、R-CNNを高速化させたモデルである（ア）が登場した。（ア）は、最初に画像全体をCNNに入力し特徴マップを出力、候補領域に合わせた特徴マップを選択してクラスを識別する手法である。また、CNNの処理が終わった特徴マップから候補領域を固定サイズの特徴マップに変換することを（イ）という。",Fast R-CNN,YOLO,U-Net,DeepLab V3+,1,"選択肢1が正解です。
Fast R-CNNは、R-CNNを高速化させたモデルです。また、Fast R-CNNは、最初に画像全体をCNNに入力し特徴マップを出力、候補領域に合わせた特徴マップを選択してクラスを識別します。

選択肢2：YOLOとは、従来の物体検知と異なり、画像全体をCNNに1回入力するだけで、物体の認識と物体領域の切り出しを同時に行うことができるモデルのことです。
選択肢3：U-Netとは、セマンティックセグメンテーションの代表的な手法の1つで、セグネット（SegNet）と同様にエンコーダとデコーダの構造を取り入れたネットワークのことです。
選択肢4：DeepLab V3+とは、ASPPというモデルを採用したセマンティックセグメンテーションの代表的な手法の1つです。"
146,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
R-CNNは、画像から物体候補領域を抽出した後に、物体候補領域の数だけCNNで処理する必要があるため、時間がかかるという問題点があった。そこで、R-CNNを高速化させたモデルである（ア）が登場した。（ア）は、最初に画像全体をCNNに入力し特徴マップを出力、候補領域に合わせた特徴マップを選択してクラスを識別する手法である。また、CNNの処理が終わった特徴マップから候補領域を固定サイズの特徴マップに変換することを（イ）という。",イテレーション,モーメンタム法,ROIプーリング,ファインチューニング,3,"選択肢3が正解です。
POIプーリングとは、Fast R-CNNにおいてCNNの処理が終わった特徴マップから候補領域を上手く固定サイズの特徴マップに変換することをいいます。

選択肢1：イテレーションとは、計算を何度も繰り返すことを意味し、パラメータ（重み）を更新した回数のことを言います。パラメータを20回更新した場合、イテレーション数は、20になります。
選択肢2：モーメンタム法とは、鞍点問題に対応するために考えられた手法で、慣性の考え方を取り入れ、前回の更新量を、現在の更新量に反映させ、学習の停滞を防ぐ手法のことです。
選択肢4：ファインチューニングとは、学習済みのモデルの一部と新しく追加したモデルを組み合わせたモデルなどのパラメータを微調整することを言います。"
147,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
RNNにおいて訓練のとき、前の時刻の正解データを現時点の入力データとして使用する手法のことを（ア）という。",復元抽出,TD学習,教師強制,局所結合,3,"選択肢3が正解です。
教師強制とは、RNNにおいて訓練のとき、前の時刻の正解データを現時点の入力データとして使用する手法のことです。

選択肢1：復元抽出とは、サンプルを抽出するとき、一度サンプルを抽出したら元に戻してから、次のサンプルを抽出する方法のことです。
選択肢2：TD学習とは、強化学習の1つで、エピソードの終了まで待たずに状態価値関数や行動価値関数を更新する手法のことです。TD学習の代表的な手法には、Q学習やSARSAがあります。
選択肢4：局所結合とは、一般的なニューラルネットワークと異なり、層の各ユニットが、次の層の特定のユニットのみと結合していることをいいます。"
148,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
RNN エンコーダ-デコーダでは、エンコーダで入力された時系列データを（ア）に変換し、デコーダで（ア）を時系列データに変換し出力する。",可変長のベクトル,固定長のベクトル,ワンホットベクトル,サポートベクトル,2,"選択肢2が正解です。
固定長のベクトルとは、あらかじめデータ量などが決まっているベクトルのことです。

選択肢1：可変長のベクトルとは、あらかじめデータ量などが決まっていないベクトルのことです。
選択肢3：ワンホットベクトルとは、1つの値が1、他の値が0になっているベクトルのことを言います。
選択肢4：サポートベクトルとは、サポートベクターマシンにおいて境界線から最も近いデータのことをいいます。"
149,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
一般物体検出において、物体が写っている領域を囲む矩形を（ア）という。",バウンディングボックス,OOV,オントロジー,ディスクリミネータ,1,"選択肢1が正解です。
バウンディングボックスとは、物体が写っている領域を囲む矩形（四角形）のことです。

選択肢2：OOVとは、辞書（訓練データ）に存在しない単語のことです。
選択肢3：オントロジーとは、概念を体系化する学問、知識・情報を定義するための仕様などを意味する用語です
選択肢4：ディスクリミネータとは、GANを構成するネットワークの1つで、ジェネレータが生成した画像の真偽を予測するものです。"
150,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
DQNの登場以降、深層強化学習にはDQNを改良した様々な手法が登場してきた。例えば、ネットワークにノイズを加えることで、広範囲の探索を行えるようにした手法である（ア）、ダブルDQNや優先度付き経験再生など様々な手法を組み合わせた（イ）などがある。",深層信念ネットワーク,Rainbow,ノイジーネットワーク,AdaBoost,3,"選択肢3が正解です。
ノイジーネットワークとは、DQNを改良したもので、ネットワークにノイズを加えることで、広範囲の探索を行えるようにした手法である。一方、DQNは行動価値が高い行動を選択してしまうため、別の行動を取る確率が低くなってしまい、広範囲の探索が困難であるという特徴があります。

選択肢1：深層信念ネットワークとは、ジェフリー・ヒントンが提唱したモデルで、オートエンコーダの代わりに制限付きボルツマンマシンを積み重ねたモデルのことです。
選択肢2：Rainbowとは、DQNを改良したモデルで、ダブルDQNや優先度付き経験再生など様々な手法を組み合わせた手法です。
選択肢4：AdaBoostとは、ブースティングの手法の1つで、Yoav FreundとRobert Schapireによって考案されました。"
151,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
DQNの登場以降、深層強化学習にはDQNを改良した様々な手法が登場してきた。例えば、ネットワークにノイズを加えることで、広範囲の探索を行えるようにした手法である（ア）、ダブルDQNや優先度付き経験再生など様々な手法を組み合わせた（イ）などがある。",深層信念ネットワーク,Rainbow,ノイジーネットワーク,AdaBoost,2,"選択肢2が正解です。
Rainbowとは、DQNを改良したモデルで、ダブルDQNや優先度付き経験再生など様々な手法を組み合わせた手法です。

選択肢1：深層信念ネットワークとは、ジェフリー・ヒントンが提唱したモデルで、オートエンコーダの代わりに制限付きボルツマンマシンを積み重ねたモデルのことです。
選択肢3：ノイジーネットワークとは、DQNを改良したもので、ネットワークにノイズを加えることで、広範囲の探索を行えるようにした手法である。一方、DQNは行動価値が高い行動を選択してしまうため、別の行動を取る確率が低くなってしまい、広範囲の探索が困難であるという特徴があります。
選択肢4：AdaBoostとは、ブースティングの手法の1つで、Yoav FreundとRobert Schapireによって考案されました。"
152,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
話者や文脈などによって同じ単語でも各音素の長さは変化してしまう。音声認識において、伸縮する音声から一致するパターンを探すために、（ア）が使われている。（ア）の代表的な手法に、動的計画法を活用した（イ）がある。",スケーリング,伸縮マッチング,ドメインランダマイゼーション,ブースティング,2,"選択肢2が正解です。
伸縮マッチングとは、画像や音声などを変形させて一致する画像や音声を探す、もしくは特定の画像や音声に近づける手法のことを言います。

選択肢1：スケーリングとは、特徴量の範囲を比較がしやすいように処理することです。スケーリングの代表的な手法に、正規化や標準化などがあります。
選択肢3：ドメインランダマイゼーションとは、シミュレータの設定をランダムに変更することで、シュミレータと現実世界のギャップを小さくし、シミュレータから実世界へ移行させたときのモデルの精度低下を防ごうとする手法のことです。
選択肢4：ブースティングとは、アンサンブル学習の1つで、一部のデータを抽出し、モデルを直列的に学習させていく手法です。バギングと比較すると、精度が高くなりやすいという特徴はありますが、並列的に学習できないため時間がかかってしまうというデメリットがあります。"
153,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
話者や文脈などによって同じ単語でも各音素の長さは変化してしまう。音声認識において、伸縮する音声から一致するパターンを探すために、（ア）が使われている。（ア）の代表的な手法に、動的計画法を活用した（イ）がある。",カーネルトリック,ディープフェイク,Mini-Max法,DPマッチング,4,"選択肢4が正解です。
DPマッチングとは、伸縮マッチングの代表的な手法で、動的計画法を活用したものです。

選択肢1：カーネルトリックとは、サポートベクターマシン（SVM）において、高次元データの計算を楽にするための手法のことです。
選択肢2：ディープフェイクとは、ディープラーニング技術を利用して、動画や画像などを組み合わせ、フェイクの動画・画像などを作り出すことをいいます。
選択肢3：Mini-Max法とは、自分が手を打つときは自分が有利に、相手が手を打つときは自分が不利になるような手を打つだろうと仮定して戦略を立てる手法のことを言います。"
154,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
DQNでは、（ア）と（イ）という学習手法が導入された。（ア）とはターゲットになる過去のネットワークを教師のように見立てて学習する手法である。一方、（イ）とはエージェントがとった行動などをデータとして蓄積しておき、学習時などにランダムにデータを抜き出し学習に使う手法である。",ターゲットネットワーク,デュエリングネットワーク,ノイジーネットワーク,深層信念ネットワーク,1,"選択肢1が正解です。
ターゲットネットワークとは、DQNにおいて学習の精度を高める方法の1つで、ターゲットになる過去のネットワークを教師のように見立てて学習する手法のことです。

選択肢2：デュエリングネットワークとは、強化学習のネットワークを改良したもので、行動価値関数や状態価値関数などを活用したモデルのことです。Q値を状態価値と行動のアドバンテージ価値の2つに分けて学習していきます。
選択肢3：ノイジーネットワークとは、DQNを改良したもので、ネットワークにノイズを加えることで、広範囲の探索を行えるようにした手法のことです。一方、DQNは行動価値が高い行動を選択してしまうため、別の行動を取る確率が低くなってしまい、広範囲の探索が困難であるという特徴があります。
選択肢4：深層信念ネットワークとは、ジェフリー・ヒントンが提唱したモデルで、オートエンコーダの代わりに制限付きボルツマンマシンを積み重ねたモデルのことです。"
155,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
DQNでは、（ア）と（イ）という学習手法が導入された。（ア）とはターゲットになる過去のネットワークを教師のように見立てて学習する手法である。一方、（イ）とはエージェントがとった行動などをデータとして蓄積しておき、学習時などにランダムにデータを抜き出し学習に使う手法である。",推論エンジン,HOG特徴量,計算グラフ,経験再生,4,"選択肢4が正解です。
経験再生とは、DQNにおいて学習の精度を高める方法の1つで、エージェントがとった行動などをデータとして蓄積しておき、学習時などにランダムにデータを抜き出し学習に使う手法のことです。

選択肢1：推論エンジンとは、知識ベースから答えを導き出す仕組みのことです。
選択肢2：HOG特徴量とは、画像認識における特徴量の1つで、画像の局所領域（セル）における輝度の勾配方向をヒストグラム化したものです。
選択肢3：計算グラフとは、計算の過程を定義したものをグラフ化したものです。可視化することで、どのような計算がなされているのか直感的に理解しやすくなります。"
156,ディープラーニングの手法,Googleが発表したモデルの1つに（ア）がある。また、（ア）はAutoMLの1つである。,VGGNet,ResNet,NASNet,WordNet,3,"選択肢3が正解です。
NASNetとは、ResNetのResidual BlockをベースにしたNASで、Googleによって発表されたものです。

選択肢1：VGGNetとは、オックスフォード大学のVGG（Visual Geometry Group）が開発したCNNで、AlexNetよりも層をより深くしたモデルになっています。また、少ない層で学習を行い、後から層を追加することで層を深くする方法を採用しています。
選択肢2：ResNetとは、2015年のILSVRCで優勝したモデルで、スキップコネクション（スキップ結合）を加えることで、層が深くなっても学習が上手くいくようになりました。また、ResNetは限られた条件ではありますが、人間の画像識別精度を超えたとされています。
選択肢4：WordNetとは、英語の語彙データベースであり、語彙の類義語や上位概念・下位概念などの情報がまとめられています。"
157,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
自然言語処理において、特に文章や背景を理解しないと正しく解けないタスクのことを（ア）という。",背景理解タスク,文脈理解タスク,文章解決タスク,言語理解タスク,4,"選択肢4が正解です。
言語理解タスクとは、自然言語処理において、特に文章や背景を理解しないと正しく解けないタスクのことです。

選択肢1：背景理解タスクという用語はありません。
選択肢2：文脈理解タスクという用語はありません。
選択肢3：文章解決タスクという用語はありません。"
158,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
Faster R-CNNは、物体検出から分類まで1つのモデルで可能な（ア）のモデルである。",E2E,OOV,LOD,GPT,1,"選択肢1が正解です。
E2E（end-to-end）とは、「端から端まで」という意味です。ディープラーニングでは、あるタスクに対して入力から出力までを1つのモデルでこなすという意味があります。

選択肢2：OOVとは、辞書（訓練データ）に存在しない単語のことです。
選択肢3：LODとは、ウェブ上でコンピュータ処理に適したデータを公開・共有するための技術のことです。
選択肢4：GPTとは、OpenAIが開発した自然言語処理モデルで、大規模なコーパスを使用して事前学習・ファインチューニングを行うモデルのことです。"
159,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
セマンティックセグメンテーションとインスタンスセグメンテーションを組み合わせた手法を（ア）という。",パノプティックセグメンテーション,インセプションモジュール,トランスフォーマー,ファインチューニング,1,"選択肢1が正解です。
パノプティックセグメンテーションとは、セマンティックセグメンテーションとインスタンスセグメンテーションを組み合わせた手法のことです。

選択肢2：インセプションモジュール（Inceptionモジュール）とは、GoogLeNetで用いられているモジュールで、複数のフィルターサイズで畳み込み処理を並列で行います。
選択肢3：トランスフォーマーとは、2017年に発表されたニューラル機械翻訳のモデルです。また、ネットワークにはRNNを使用せずSelf-Attention・Source-Target AttentionのAttention機構で成り立っており、並列処理がしやすく、RNNを使用するよりも高速でモデルの学習が可能という特徴があります。
選択肢4：ファインチューニングとは、学習済みのモデルの一部と新しく追加したモデルを組み合わせたモデルなどのパラメータを微調整することを言います。"
160,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
BERTを活用することで様々なタスクを行うことができる。例えば、文章中から固有表現などを抽出し、あらかじめ定義した固有表現分類へ分類する（ア）、文章中の単語に対して品詞を付ける（イ）などがある。",固有名詞分類,表現抽出,固有表現抽出,定義表現抽出,3,"選択肢3が正解です。
固有表現抽出とは、自然言語タスクの1つで、文章中から固有表現などを抽出し、あらかじめ定義した固有表現分類へ分類することです。

選択肢1：固有名詞分類という用語はありません。
選択肢2：表現抽出という用語はありません。
選択肢4：定義表現抽出という用語はありません。"
161,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
BERTを活用することで様々なタスクを行うことができる。例えば、文章中から固有表現などを抽出し、あらかじめ定義した固有表現分類へ分類する（ア）、文章中の単語に対して品詞を付ける（イ）などがある。",品詞タグ付け,係り受け解析,品詞分類処理,含意関係認識,1,"選択肢1が正解です。
品詞タグ付けとは、自然言語タスクの1つで、文章中の単語に対して品詞を付ける処理のことです。

選択肢2：係り受け解析とは、主語や述語、修飾語や被修飾語のように、単語同士の関係性を推定することです。
選択肢3：品詞分類処理という用語はありません。
選択肢4：含意関係認識とは、自然言語タスクの1つで、前提と仮説からなる2つの文章を用いて、前提と仮説が正しいか矛盾しているかを推論することです。また、自然言語推論とも呼ばれます。"
162,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
OpenCVは様々な処理を行うことができる。例えば、画像のコントラストが全体的に平均化するように調整する（ア）などがある。",ヒストグラム平坦化,伸縮マッチング,アベレージプーリング,平滑化,1,"選択肢1が正解です。
ヒストグラム平坦化とは、画像のコントラストが全体的に平均化するように調整することをいいます。

選択肢2：伸縮マッチングとは、画像や音声などを変形させて一致する画像や音声を探す、もしくは特定の画像や音声に近づける手法のことを言います。
選択肢3：アベレージプーリング（平均値プーリング）とは、プーリングの代表的な手法の1つで、特徴マップの各区間の平均値を抽出することです。
選択肢4：平滑化とは、画像の細かいノイズを除去することを言います。"
163,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
モデルを軽量化する代表的な手法として（ア）、（イ）、（ウ）などがある。（ア）とは、学習済みモデルの入力と出力を学習させて、小さなモデルを作成する手法のことである。（イ）は、重みなどのパラメータを小さいビットで表現することで、計算量を減らす手法である。（ウ）とは、ニューラルネットワークのユニットの中で重みが小さい接続を削除し、パラメータ数を削除する手法である。",ドロップアウト,プルーニング,蒸留,早期終了,3,"選択肢3が正解です。
蒸留とは、モデルを軽量化する代表的な手法で、学習済みモデルの入力と出力を学習させて、小さなモデルを作成する手法のことです。また、学習済みモデルを教師モデル、新しく作成するモデルを生徒モデルと言います。

選択肢1：ドロップアウトとは、過学習対策の1つで、学習させるときにランダムにユニットを無効化させることで過学習を防ぎます。
選択肢2：プルーニングとは、モデルを軽量化する代表的な手法で、ニューラルネットワークのユニットの中で重みが小さい接続を削除し、パラメータ数を削除することを言います。パラメータ数が少なくなることで、計算量を減らすことはことはできますが、精度が落ちてしまうデメリットが存在します。
選択肢4：早期終了とは、過学習対策の1つで、汎化誤差が増加し始めたら学習を終了するという手法のことです。汎化誤差とは、学習に使っていないデータに対する予測と正解の誤差のことを言います。"
164,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
モデルを軽量化する代表的な手法として（ア）、（イ）、（ウ）などがある。（ア）とは、学習済みモデルの入力と出力を学習させて、小さなモデルを作成する手法のことである。（イ）は、重みなどのパラメータを小さいビットで表現することで、計算量を減らす手法である。（ウ）とは、ニューラルネットワークのユニットの中で重みが小さい接続を削除し、パラメータ数を削除する手法である。",バッチ正規化,早期終了,量子化,プルーニング,3,"選択肢3が正解です。
量子化とは、モデルを軽量化する代表的な手法で、重みなどのパラメータを小さいビットで表現することで、計算量を減らすことができます。一方で、精度が落ちてしまうというデメリットが存在します。

選択肢1：バッチ正規化とは、隠れ層に入力する値を、ミニバッチ単位で正規化する手法のことを言います。バッチ正規化を行うことで、過学習が起きにくくなると言われています。
選択肢2：早期終了とは、過学習対策の1つで、汎化誤差が増加し始めたら学習を終了するという手法のことです。汎化誤差とは、学習に使っていないデータに対する予測と正解の誤差のことを言います。
選択肢4：プルーニングとは、モデルを軽量化する代表的な手法で、ニューラルネットワークのユニットの中で重みが小さい接続を削除し、パラメータ数を削除することを言います。パラメータ数が少なくなることで、計算量を減らすことはことはできますが、精度が落ちてしまうデメリットが存在します。"
165,ディープラーニングの手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
モデルを軽量化する代表的な手法として（ア）、（イ）、（ウ）などがある。（ア）とは、学習済みモデルの入力と出力を学習させて、小さなモデルを作成する手法のことである。（イ）は、重みなどのパラメータを小さいビットで表現することで、計算量を減らす手法である。（ウ）とは、ニューラルネットワークのユニットの中で重みが小さい接続を削除し、パラメータ数を削除する手法である。",ドロップアウト,プルーニング,蒸留,バッチ正規化,2,"選択肢2が正解です。
プルーニングとは、モデルを軽量化する代表的な手法で、ニューラルネットワークのユニットの中で重みが小さい接続を削除し、パラメータ数を削除することを言います。パラメータ数が少なくなることで、計算量を減らすことはことはできますが、精度が落ちてしまうデメリットが存在します。

選択肢1：ドロップアウトとは、過学習対策の1つで、学習させるときにランダムにユニットを無効化させることで過学習を防ぎます。
選択肢3：蒸留とは、モデルを軽量化する代表的な手法で、学習済みモデルの入力と出力を学習させて、小さなモデルを作成する手法のことです。また、学習済みモデルを教師モデル、新しく作成するモデルを生徒モデルと言います。
選択肢4：バッチ正規化とは、隠れ層に入力する値を、ミニバッチ単位で正規化する手法のことを言います。バッチ正規化を行うことで、過学習が起きにくくなると言われています。"
166,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
2014年のILSVRCで準優勝したモデルを（ア）という。（ア）は、少ない層で学習を行い、後から層を追加することで層を深くする方法を採用している。",VGGNet,Elastic Net,U-Net,PSPNet,1,"選択肢1が正解です。
VGGNetとは、オックスフォード大学のVGG（Visual Geometry Group）が開発したCNNで、AlexNetよりも層をより深くしたモデルになっています。また、少ない層で学習を行い、後から層を追加することで層を深くする方法を採用しています。

選択肢2：Elastic Netとは、線形回帰にL1正則化とL2正則化を組み合わせたものです。
選択肢3：U-Netとは、セマンティックセグメンテーションの代表的な手法の1つで、セグネット（SegNet）と同様にエンコーダとデコーダの構造を取り入れたネットワークのことです。
選択肢4：PSPNetとは、セマンティックセグメンテーションの代表的な手法の1つで、エンコーダとデコーダの間にPyramid Pooling Moduleが設けられたモデルです。"
167,ディープラーニングの社会実装に向けて,"（ア）に最もよく当てはまる選択肢を選んでください。
インターネットに接続された装置を（ア）という。また、インターネットなどのネットワーク経由でサービスを提供する利用形態を（イ）サービスという。",エッジデバイス,Web API,クラウド,arXiv,1,"選択肢1が正解です。
エッジデバイスとは、インターネットに接続された装置（製品）のことを言います。

選択肢2：Web APIとは、HTTP・HTTPS通信によってやりとりするAPIのことを言います。また、APIとは、機能を外部から使うための仕組みのことです。
選択肢3：クラウドとは、インターネットなどのネットワーク経由でサービスを提供する形態のことです。
選択肢4：arXivとは、論文の公開や閲覧ができるサービスです。"
168,ディープラーニングの社会実装に向けて,"（イ）に最もよく当てはまる選択肢を選んでください。
インターネットに接続された装置を（ア）という。また、インターネットなどのネットワーク経由でサービスを提供する利用形態を（イ）サービスという。",エッジデバイス,Web API,クラウド,arXiv,3,"選択肢3が正解です。
クラウドとは、インターネットなどのネットワーク経由でサービスを提供する形態のことです。

選択肢1：エッジデバイスとは、インターネットに接続された装置（製品）のことを言います。
選択肢2：Web APIとは、HTTP・HTTPS通信によってやりとりするAPIのことを言います。また、APIとは、機能を外部から使うための仕組みのことです。
選択肢4：arXivとは、論文の公開や閲覧ができるサービスです。"
169,ディープラーニングの社会実装に向けて,"（ア）に最もよく当てはまる選択肢を選んでください。
知的財産権は様々な法律によって保護されている。例えば、物品の形状、構造または組み合わせに係るアイデアを保護する法律として（ア）があり、工業デザインなどを保護する法律として（イ）がある。",意匠法,実用新案法,商標法,特許法,2,"選択肢2が正解です。
実用新案法とは、物品の形状、構造または組み合わせに係るアイデアを保護する法律のことです。

選択肢1：意匠法とは、工業デザインなどを保護する法律のことです。
選択肢3：商標法とは、商品やサービスのマークを保護する法律のことです。
選択肢4：特許法とは、発明を保護する法律のことです。"
170,ディープラーニングの社会実装に向けて,"（イ）に最もよく当てはまる選択肢を選んでください。
知的財産権は様々な法律によって保護されている。例えば、物品の形状、構造または組み合わせに係るアイデアを保護する法律として（ア）があり、工業デザインなどを保護する法律として（イ）がある。",意匠法,実用新案法,商標法,特許法,1,"選択肢1が正解です。
意匠法とは、工業デザインなどを保護する法律のことです。

選択肢2：実用新案法とは、物品の形状、構造または組み合わせに係るアイデアを保護する法律のことです。
選択肢3：商標法とは、商品やサービスのマークを保護する法律のことです。
選択肢4：特許法とは、発明を保護する法律のことです。"
171,ディープラーニングの社会実装に向けて,"（ア）に最もよく当てはまる選択肢を選んでください。
オープンデータセットには、様々な種類のものがある。画像データセットには、0〜9の手書き数字のモノクロ画像を集めた（ア）、1400万以上の画像データからなる（イ）などがある。",WordNet,ImageNet,MNIST,CIFAR,3,"選択肢3が正解です。
MNISTとは、0〜9の手書き数字のモノクロ画像を集めたデータセットです。6万の訓練画像と1万の評価画像が含まれています。

選択肢1：WordNetとは、英語の語彙データベースであり、語彙の類義語や上位概念・下位概念などの情報がまとめられています。
選択肢2：ImageNetとは、数千万枚以上ある大規模な画像データベースのことです。画像には、ラベルが設定されていますが、全てのラベルが正しく設定されているわけではありません。
選択肢4：CIFARとは、飛行機や自転車など様々な種類の画像を集めたデータセットです。"
172,ディープラーニングの社会実装に向けて,"（イ）に最もよく当てはまる選択肢を選んでください。
オープンデータセットには、様々な種類のものがある。画像データセットには、0〜9の手書き数字のモノクロ画像を集めた（ア）、1400万以上の画像データからなる（イ）などがある。",WordNet,ImageNet,MNIST,CIFAR,2,"選択肢2が正解です。
ImageNetとは、数千万枚以上ある大規模な画像データベースのことです。画像には、ラベルが設定されていますが、全てのラベルが正しく設定されているわけではありません。

選択肢1：WordNetとは、英語の語彙データベースであり、語彙の類義語や上位概念・下位概念などの情報がまとめられています。
選択肢3：MNISTとは、0〜9の手書き数字のモノクロ画像を集めたデータセットです。6万の訓練画像と1万の評価画像が含まれています。
選択肢4：CIFARとは、飛行機や自転車など様々な種類の画像を集めたデータセットです。"
